image&nbsp;&nbsp;&nbsp;	name&nbsp;	pass&nbsp;&nbsp;&nbsp;	fail&nbsp;&nbsp;&nbsp;	errors&nbsp;&nbsp;&nbsp;	skipped&nbsp;&nbsp;&nbsp;	avg time&nbsp;	fail msg&nbsp;
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestAddFieldRealTimeGet#test	24	0	 0	0	.83	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestPseudoReturnFields#testAugmentersAndScoreRTG	24	0	 0	0	.06	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestSimpleQParserPlugin#testOnlyEscapeOperatorEnabledDisabled	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestPseudoReturnFields#testAugmentersAndScore	24	0	 0	0	.02	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncSum	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestCustomSort#testSortableBinary	24	0	 0	0	.11	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.join.TestScoreJoinQPNoScore#testNotEquals	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestSolrQueryParser#testShingleQueries	24	0	 0	0	.02	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.similarities.TestPerFieldSimilarity#testDefaultsDynamic	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.facet.TestJsonFacets#testComplex	144	0	 0	0	.28	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestReRankQParserPlugin#testReRankQueriesWithDefType	24	0	 0	0	.10	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.join.BlockJoinFacetRandomTest#testValidation	24	0	 0	0	.03	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.ReturnFieldsTest#testSeparators	24	0	 0	0	.01	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestTrieFacet#testMultiValuedTrieP8_fc	24	0	 0	0	.02	
<img src="images/passed.png" height="17" width="17">	org.apache.solr.search.TestSolrQueryParser#testParsingPerformance	24	0	 0	0	.02	
