image&nbsp;&nbsp;&nbsp;	name&nbsp;	pass&nbsp;&nbsp;&nbsp;	fail&nbsp;&nbsp;&nbsp;	errors&nbsp;&nbsp;&nbsp;	skipped&nbsp;&nbsp;&nbsp;	avg time&nbsp;	fail msg&nbsp;
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.DistributedUpdateProcessorTest#testShouldBufferUpdate	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TransactionLogTest#testBigLastAddSize	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ParsingFieldUpdateProcessorsTest#testParseUSPacificDate	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.MaxSizeAutoCommitTest#testDeletes	24	0	 0	0	2.33	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.CloneFieldUpdateProcessorFactoryTest#testCloneCombinations	24	0	 0	0	.01	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.update.CdcrUpdateLogTest#testLogReaderSeek	0	0	 0	24	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ParsingFieldUpdateProcessorsTest#testParseTrieIntRoundTrip	24	0	 0	0	.86	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ParsingFieldUpdateProcessorsTest#testParseTrieDateRoundTrip	24	0	 0	0	.05	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.CloneFieldUpdateProcessorFactoryTest#testMultipleClones	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.CloneFieldUpdateProcessorFactoryTest#testMultiClone	24	0	 0	0	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ParsingFieldUpdateProcessorsTest#testParseTrieLongRoundTrip	24	0	 0	0	.05	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TestNestedUpdateProcessor#testDeeplyNestedURPGrandChild	24	0	 0	0	.08	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ParsingFieldUpdateProcessorsTest#testParseTrieFloatRoundTrip	24	0	 0	0	.05	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.CloneFieldUpdateProcessorFactoryTest#testSimpleClone	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TestDocBasedVersionConstraints#testConcurrentAdds	24	0	 0	0	2.07	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.update.CdcrUpdateLogTest#testResetToLastPosition	0	0	 0	24	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.SkipExistingDocumentsProcessorFactoryTest#testSkipInsertsFalseIfInitArgsTrueButFalseStringInRequest	12	0	 0	0	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.UpdateLogTest#testApplyPartialUpdatesOnMultipleInPlaceUpdatesInSequence	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ClassificationUpdateProcessorTest#knnMonoClass_boostFields_shouldAssignCorrectClass	24	0	 0	0	.05	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.FieldMutatingUpdateProcessorTest#testLastValue	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ClassificationUpdateProcessorTest#knnMonoClass_contextQueryFiltered_shouldAssignCorrectClass	24	0	 0	0	.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.AtomicUpdatesTest#testAtomicUpdatesOnNonStoredDocValuesCopyField	24	0	 0	0	.13	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.FieldMutatingUpdateProcessorTest#testIgnore	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.TestInPlaceUpdatesStandalone#testReplay_MixOfInplaceAndNonInPlaceAtomicUpdates	24	0	 0	0	.21	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.DocumentBuilderTest#testSolrDocumentEquals	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.StatelessScriptUpdateProcessorFactoryTest#testSingleScript	24	0	 0	0	.43	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.FieldMutatingUpdateProcessorTest#testTrimTypes	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.SkipExistingDocumentsProcessorFactoryTest#testNoExceptionIfNextNextProcessorIsDistributed	12	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.UUIDUpdateProcessorFallbackTest#testProcessorPrefixReqParam	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.SkipExistingDocumentsProcessorFactoryTest#testSkippableInsertIsSkippedIfSkipInsertsTrue	12	0	 0	0	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.MaxSizeAutoCommitTest#testRedundantDeletes	24	0	 0	0	1.59	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.update.CdcrUpdateLogTest#testGetNumberOfRemainingRecords	0	0	 0	24	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.update.processor.ParsingFieldUpdateProcessorsTest#testParseIntRoundTrip	24	0	 0	0	.05	
