image&nbsp;&nbsp;&nbsp;	name&nbsp;	pass&nbsp;&nbsp;&nbsp;	fail&nbsp;&nbsp;&nbsp;	errors&nbsp;&nbsp;&nbsp;	skipped&nbsp;&nbsp;&nbsp;	avg time&nbsp;	fail msg&nbsp;
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.facet.TestJsonFacets#testDomainGraph	72	0	 0	72	.09	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.facet.RangeFacetCloudTest#testInclude_EdgeLowerUpper	22	0	 0	2	.57	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.join.BJQParserTest#testScoresForChild	12	0	 0	12	.03	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.json.TestJsonRequest#testLocalJsonRequest	12	0	 0	12	.17	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestDocSet#testFilter	24	0	 0	0	.25	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncRord	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.join.TestNestedDocsSort#testCachehits	24	0	 0	0	.03	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.facet.TestJsonFacetsWithNestedObjects#testDomainFilterExclusionsInFilters	24	0	 0	0	.20	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.join.BJQParserTest#testFull	12	0	 0	12	.02	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.join.TestNestedDocsSort#testNotBjqReference	24	0	 0	0	.03	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.function.TestMinMaxOnMultiValuedField#testLongFieldCache	0	0	 0	24	.00	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.function.TestMinMaxOnMultiValuedField#testRandom	12	0	 0	12	.29	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.function.TestFunctionQuery#testSortByFunc	12	0	 0	12	.02	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestPseudoReturnFields#testAugmentersGlobsExplicitAndScoreOhMy	12	0	 0	12	.05	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.function.TestMinMaxOnMultiValuedField#testDoubleDocValues	12	0	 0	12	.54	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testCompares	24	0	 0	0	.02	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.join.BJQParserTest#testToParentFilters	12	0	 0	12	.03	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testQueryFunc	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncGhhsin	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testReRankQuery	24	0	 0	0	.02	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.join.TestNestedDocsSort#testEqualityUpToBlockJoin	24	0	 0	0	.04	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.similarities.TestDFISimilarityFactory#testParameters	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestTrieFacet#testSingleValuedTrieP8_fcs	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestRecovery#testReload	24	0	 0	0	1.30	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.similarities.TestLMJelinekMercerSimilarityFactory#testParameters	24	0	 0	0	.01	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.mlt.CloudMLTQParserTest#testMinDF	12	0	 0	12	.04	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestExtendedDismaxParser#testDefaultMM	12	0	 0	12	.05	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncDoubleValueBools	24	0	 0	0	.02	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestFoldingMultitermQuery#testPrefixCaseAccentFolding	24	0	 0	0	.17	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestSolrCoreParser#testHandySpanQuery	12	0	 0	12	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestSimpleQParserPlugin#testFuzzyChain	24	0	 0	0	.07	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncMs	24	0	 0	0	.01	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.facet.TestCloudJSONFacetJoinDomain#testTheTestTermFacetShouldFreakOutOnBadRefineOptions	20	0	 0	2	.05	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.AnalyticsQueryTest#testAnalyticsQuery	24	0	 0	0	.13	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.function.TestOrdValues#testEqualsNull	12	0	 0	12	.00	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testQueryComplexPhrase	24	0	 0	0	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncOrd	24	0	 0	0	.01	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.function.TestMinMaxOnMultiValuedField#testDoubleFieldCache	0	0	 0	24	.00	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestComplexPhraseLeadingWildcard#testReverseWithoutOriginal	12	0	 0	12	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.similarities.TestNonDefinedSimilarityFactory#testClassic	24	0	 0	0	1.13	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testFuncQuery	24	0	 0	0	.01	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestSolr4Spatial2#testBBox	12	0	 0	12	.06	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.facet.TestCloudJSONFacetJoinDomain#testBespoke	20	0	 0	2	2.19	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.QueryEqualityTest#testHash	24	0	 0	0	.02	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestPseudoReturnFields#testFunctionsRTG	12	0	 0	12	.02	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.mlt.CloudMLTQParserTest#testMultipleFields	12	0	 0	12	.05	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestExtendedDismaxParser#testPfPs	12	0	 0	12	.07	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestSolrQueryParser#testCSQ	12	0	 0	12	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestXmlQParser#testTermsQueryXML	24	0	 0	0	.02	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestTrieFacet#testMultiValuedTrieP8_fcs	24	0	 0	0	.02	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestCollapseQParserPlugin#testMissingFieldParam	12	0	 0	12	.01	
<img src="/images/passed.png" height="17" width="17">	org.apache.solr.search.TestQueryTypes#testQueryTypes	24	0	 0	0	1.21	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestRecoveryHdfs#testBuffering	22	0	 0	2	2.27	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.function.TestFunctionQuery#testConcatFunction	12	0	 0	12	.04	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestExtendedDismaxParser#testEdismaxSimpleExtension	12	0	 0	12	.01	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.join.BJQParserTest#testIntersectParentBqChildBq	12	0	 0	12	.02	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestRecoveryHdfs#testExistOldBufferLog	22	0	 0	2	13.56	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.facet.TestJsonFacetRefinement#testManyClauses	22	0	 0	2	.06	
<img src="/images/skip.png" height="17" width="17">	org.apache.solr.search.TestPseudoReturnFields#testFunctionsAndScore	12	0	 0	12	.01	
